id,created_at,name,acronym,city,legal_status,pricing_min,pricing_max,pricing_details,logo_url,website_url,programs_tags,filieres,media_id
c7db5b46-f1ad-44c8-a466-21dca45d144b,2026-02-13 09:08:32.732025+00,ENCG Casa,,Casablanca,,,,,,,,"Achat & Supply Chain, Administration & Défense, Audit & Contrôle, Commerce & Vente, Comptabilité & Audit, Finance & Assurance, Gestion & Stratégie, Marketing & Comm, RH & Management",
c8cfaead-4718-498e-baa2-89a3be8ea34e,2026-02-13 09:08:32.732025+00,ENCG,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Audit & Contrôle, Commerce & Vente, Comptabilité & Audit, Finance & Assurance, Gestion & Stratégie, Marketing & Comm, RH & Management",
d1950807-9b6c-48e7-a39b-f48b05fca36e,2026-02-13 09:08:32.732025+00,ESCA,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Audit et Expertise Comptable, Commerce & Vente, Commerce International, Entrepreneuriat, Finance & Assurance, Finance d'Entreprise, Gestion & Stratégie, Management, Marketing & Comm, Marketing et Communication",
d704dbfe-ec5f-451b-84c1-2cfcba5e5699,2026-02-13 09:08:32.732025+00,HEM,,,,,,,,,,"Audit, Business Analytics, Commerce & Vente, Commerce International, Comptabilité & Audit, Entrepreneuriat, Finance, Finance & Assurance, Management, Marketing, Marketing & Comm",
dbe65171-e6ee-460f-bb70-506266a7cadc,2026-02-13 09:08:32.732025+00,IGA,,,,,,,,,,"Développement & Logiciel, Génie Informatique, Génie Mécanique, Mécanique & Matériaux, Réseaux et Télécommunications, Systèmes & Réseaux, Systèmes Industriels, Télécoms & Réseaux, Électrique & Auto, Électromécanique",
e05be3b3-6e27-4508-a997-cb1627c1d563,2026-02-13 09:08:32.732025+00,ECC,,,,,,,,,,"Achat & Supply Chain, Commerce, Commerce International, Data & IA, Enseignement & Recherche, Entrepreneuriat, Finance, Finance & Assurance, Gestion & Stratégie, Génie Civil & BTP, Génie Industriel & Prod, Logistique, Management, Marketing, Systèmes & Réseaux, Énergie & Fluides",91d35f58-508d-4461-aa06-56fec950be1a
e1fa8fb7-081c-4e2b-bc6f-5629fc3b6d00,2026-02-13 09:08:32.732025+00,ENCG Beni Mellal,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Audit & Contrôle, Commerce & Vente, Comptabilité & Audit, Finance & Assurance, Gestion & Stratégie, Marketing & Comm, RH & Management",
e92f08e6-d06c-4464-a093-36678db530e0,2026-02-13 09:08:32.732025+00,ENA de Meknès,,Meknès,,,,,,,,"Agronomie, Production Végétale, Production Animale, Génie Rural, Industries Agricoles et Alimentaires",
e9fc5e27-6325-404c-ba9b-5e9a4bad8d9f,2026-02-13 09:08:32.732025+00,EHTP,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Bâtiment, Chimie & Procédés, Développement & Logiciel, Génie Civil & BTP, Géotechnique, Hydraulique, Management de la Construction, Ouvrages d'Art, Topographie, Travaux Publics, Électrique & Auto, Énergie & Environnement",
ee258375-5387-4ed0-b0cf-02907d8be14f,2026-02-13 09:08:32.732025+00,IRP,,,,,,,,,,"Police Judiciaire, Sécurité Publique, Criminalistique, Droit Pénal, Investigation Criminelle, Renseignement",
ee96e526-b986-4430-bb07-6746702fe8e7,2026-02-13 09:08:32.732025+00,ISTP,,,,,,,,,,"Développement & Logiciel, Gestion & Stratégie, Génie Informatique, Management Industriel, Mécanique, Mécanique & Matériaux, Électromécanique",
eeb255b1-36e8-4f5b-b7bb-8f35638cae21,2026-02-13 09:08:32.732025+00,Polytechnique Agadir,,,,,,,,,,"Génie Industriel, Génie Électrique, Génie Mécanique, Génie Informatique, Génie Civil, Management Industriel",
f4053796-193c-40d9-b62f-3aaba6c384e5,2026-02-13 09:08:32.732025+00,EMI,,,,,,,,,,"Achat & Supply Chain, Chimie & Procédés, Développement & Logiciel, Génie Civil, Génie Civil & BTP, Génie Industriel, Génie Industriel & Prod, Génie Informatique, Génie Mécanique, Génie des Procédés, Génie Électrique, Modélisation et Informatique Scientifique, Mécanique & Matériaux, Systèmes & Réseaux, Électrique & Auto",
f46fd284-cce6-4988-99c2-1730484af273,2026-02-13 09:08:32.732025+00,INSEA,,,,,,,,,,"Actuariat, Big Data Analytics, Data & IA, Data Science, Finance & Assurance, Finance Quantitative, Intelligence Artificielle, Statistiques Appliquées, Économétrie",
f5d0f09e-37cd-4e68-9033-8f6f8cef5281,2026-02-13 09:08:32.732025+00,EMSI,,,,,,,,,,"Finance, Finance & Assurance, Génie Civil, Génie Civil & BTP, Génie Informatique, Management, Marketing Digital, Réseaux et Télécoms, Systèmes & Réseaux, Télécoms & Réseaux",
fa8e3d58-5443-4538-b049-4938fb4a2f5c,2026-02-13 09:08:32.732025+00,EHEB,,,,,,,,,,"Analyses Biomédicales, Biotechnologies, Business & Vente, Cosmétologie, Data & IA, Génie Biomédical, Ingénierie Santé, Maintenance & Qualité, Pharmacie & Biologie, Pharmacie Industrielle, Qualité Pharmaceutique, Recherche & Clinique, Santé Publique, Soins & Paramédical",a94851e0-21ed-496c-8cf4-1de552a1672a
